Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Consumption MWh/h 30min Actual;FR Consumption MWh/h 15min Normal;FR Consumption MWh/h 15min Backcast
2024-01-01 00:00;+01:00;49735.75;53808.26;47443.63
2024-01-02 00:00;+01:00;55008.01;60872.85;56001.05
2024-01-03 00:00;+01:00;55665.57;63079.03;55636.88
2024-01-04 00:00;+01:00;56232.24;64414;57780.62
2024-01-05 00:00;+01:00;57646.47;64667.5;59798.03
2024-01-06 00:00;+01:00;56559.69;58795.91;57749.93
2024-01-07 00:00;+01:00;58633.33;56037.01;58659.55
2024-01-08 00:00;+01:00;70501.49;62154.89;68391.1
2024-01-09 00:00;+01:00;75705.59;63642.04;73113.87
2024-01-10 00:00;+01:00;76403.71;64348.97;75348.26
2024-01-11 00:00;+01:00;74701.71;64645.94;75511.05
2024-01-12 00:00;+01:00;74093.61;64333.81;72879.65
2024-01-13 00:00;+01:00;71414.14;58953.66;64450.61
2024-01-14 00:00;+01:00;69053.34;56780.27;62468.05
2024-01-15 00:00;+01:00;70439.85;64357.77;71220.65
2024-01-16 00:00;+01:00;72404.8;65724.58;70629.48
2024-01-17 00:00;+01:00;67903.2;65883.44;69577.19
2024-01-18 00:00;+01:00;66631.06;66088.42;66955.78
2024-01-19 00:00;+01:00;73074.8;65853.29;70858.53
2024-01-20 00:00;+01:00;70976.01;60446.01;71866.1
2024-01-21 00:00;+01:00;65668.2;58000.45;66724.14
2024-01-22 00:00;+01:00;64663.94;65681.13;65600.66
2024-01-23 00:00;+01:00;61530.9;66838.8;62389.59
2024-01-24 00:00;+01:00;57260.66;66876.82;59579.51
2024-01-25 00:00;+01:00;56343.18;66728.85;56901.04
2024-01-26 00:00;+01:00;55920.35;65980.23;57317.89
2024-01-27 00:00;+01:00;55208.76;60245.19;58425.94
2024-01-28 00:00;+01:00;54436.72;57698.49;57933.58
2024-01-29 00:00;+01:00;58015.79;65349.09;57686.07
2024-01-30 00:00;+01:00;57754.98;66417.55;57711.55
2024-01-31 00:00;+01:00;59213.88;66529.59;58876.5
2024-02-01 00:00;+01:00;58750.9;66405.58;59589.72
2024-02-02 00:00;+01:00;58448.77;65568.38;57835.18
2024-02-03 00:00;+01:00;53916.06;59555.02;54506.44
2024-02-04 00:00;+01:00;52585.34;56884.94;52350.47
2024-02-05 00:00;+01:00;59348.6;64656.9;58078.23
2024-02-06 00:00;+01:00;59591.35;65770.7;60271.78
2024-02-07 00:00;+01:00;57891.31;65699.46;58184.87
2024-02-08 00:00;+01:00;55740.72;65490.01;55528.07
2024-02-09 00:00;+01:00;54383.39;64577.69;53746.83
2024-02-10 00:00;+01:00;51655.31;58723.72;51003.75
2024-02-11 00:00;+01:00;50751.9;55839.9;52261.91
2024-02-12 00:00;+01:00;58144.55;63531.83;59028.06
2024-02-13 00:00;+01:00;59229;64371.6;60171.16
2024-02-14 00:00;+01:00;55202.44;64017.69;56381.74
2024-02-15 00:00;+01:00;52749.7;63768.21;51859.54
2024-02-16 00:00;+01:00;51762.02;62875.53;51404.88
2024-02-17 00:00;+01:00;48813.81;57034.65;49818.25
2024-02-18 00:00;+01:00;48117.67;54213.64;48210.68
2024-02-19 00:00;+01:00;53519.69;61348.04;53473.82
2024-02-20 00:00;+01:00;55235.57;62087.17;55198.04
2024-02-21 00:00;+01:00;56269.22;61711.63;56369.61
2024-02-22 00:00;+01:00;56224.05;61533.34;55523.25
2024-02-23 00:00;+01:00;58869.8;60435.44;57642.08
2024-02-24 00:00;+01:00;55327.46;54824.54;56631.74
2024-02-25 00:00;+01:00;53829.49;52405.19;53699.86
2024-02-26 00:00;+01:00;58801.66;59048.53;58983.05
2024-02-27 00:00;+01:00;60694.69;59936.14;59780.33
2024-02-28 00:00;+01:00;60568.54;59923.69;60347.34
2024-02-29 00:00;+01:00;58152.15;59932.58;59164.64
2024-03-01 00:00;+01:00;57645.84;59099.81;57771.28
2024-03-02 00:00;+01:00;53723.95;53736.69;51611.86
2024-03-03 00:00;+01:00;53515;51142.53;51580.57
2024-03-04 00:00;+01:00;59837.76;57397.45;59400.49
2024-03-05 00:00;+01:00;59212.2;58157.6;60244.82
2024-03-06 00:00;+01:00;59743.88;58028.87;58743.99
2024-03-07 00:00;+01:00;58136.36;57608.01;59678.58
2024-03-08 00:00;+01:00;57208.07;56767.77;56643.24
2024-03-09 00:00;+01:00;52209.31;51543.71;51494.91
2024-03-10 00:00;+01:00;51080.19;49263.46;49661.67
2024-03-11 00:00;+01:00;56691.28;55103.64;55776.94
2024-03-12 00:00;+01:00;56490.69;55927.15;56220.18
2024-03-13 00:00;+01:00;53477.34;56069.59;53729.25
2024-03-14 00:00;+01:00;51428.2;55971.92;51896.19
2024-03-15 00:00;+01:00;48734.34;55143.07;49758.54
2024-03-16 00:00;+01:00;44903.39;49986.31;45196.07
2024-03-17 00:00;+01:00;43623.5;47796.29;44328.07
2024-03-18 00:00;+01:00;47874.39;54072.7;46915.79
2024-03-19 00:00;+01:00;48567.38;54825.94;48921.22
2024-03-20 00:00;+01:00;48059.15;54636.08;48800.41
2024-03-21 00:00;+01:00;47200.05;54529.47;47204.4
2024-03-22 00:00;+01:00;46306.12;53603.66;46590.41
2024-03-23 00:00;+01:00;44134.83;47893.53;46380.21
2024-03-24 00:00;+01:00;45046.43;45191.63;48014
2024-03-25 00:00;+01:00;52064.16;51563.52;51986.78
2024-03-26 00:00;+01:00;53752.76;52470.7;52328.05
2024-03-27 00:00;+01:00;54896.23;52243.13;54020.09
2024-03-28 00:00;+01:00;54139.45;52073.83;54240.47
2024-03-29 00:00;+01:00;51538.89;51291.54;49561.03
2024-03-30 00:00;+01:00;47472.53;46746.24;42508.71
2024-03-31 00:00;+01:00;44600.74;44115.87;41538.69
