Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Price Spot EUR/MWh EPEX H Actual;FR Price Spot Day-Ahead EUR/MWh H Backcast
2024-01-01 00:00;+01:00;13.14;17.3
2024-01-02 00:00;+01:00;36.19;39.93
2024-01-03 00:00;+01:00;46.11;47.31
2024-01-04 00:00;+01:00;78.98;69.28
2024-01-05 00:00;+01:00;90.54;85.48
2024-01-06 00:00;+01:00;87.54;69.14
2024-01-07 00:00;+01:00;86.32;67.44
2024-01-08 00:00;+01:00;102.23;96.32
2024-01-09 00:00;+01:00;106.59;105.55
2024-01-10 00:00;+01:00;109.62;115.52
2024-01-11 00:00;+01:00;106.79;113.21
2024-01-12 00:00;+01:00;106.53;110.19
2024-01-13 00:00;+01:00;87.52;79.75
2024-01-14 00:00;+01:00;82.12;69.76
2024-01-15 00:00;+01:00;88.9;82.19
2024-01-16 00:00;+01:00;103.05;102.95
2024-01-17 00:00;+01:00;85.24;97.51
2024-01-18 00:00;+01:00;85.89;92.35
2024-01-19 00:00;+01:00;82;83.1
2024-01-20 00:00;+01:00;77.87;77.39
2024-01-21 00:00;+01:00;58.07;48.82
2024-01-22 00:00;+01:00;57.46;54.25
2024-01-23 00:00;+01:00;56.98;57.01
2024-01-24 00:00;+01:00;48.31;45.04
2024-01-25 00:00;+01:00;73.32;70.16
2024-01-26 00:00;+01:00;65.82;63.3
2024-01-27 00:00;+01:00;68.43;67.52
2024-01-28 00:00;+01:00;53.19;59.3
2024-01-29 00:00;+01:00;76.39;71.72
2024-01-30 00:00;+01:00;78.03;73
2024-01-31 00:00;+01:00;75.2;73.4
2024-02-01 00:00;+01:00;75.15;71.3
2024-02-02 00:00;+01:00;67.16;66.71
2024-02-03 00:00;+01:00;46.1;46.36
2024-02-04 00:00;+01:00;27.95;27.57
2024-02-05 00:00;+01:00;53.51;52.73
2024-02-06 00:00;+01:00;53.47;51.93
2024-02-07 00:00;+01:00;57.55;54.72
2024-02-08 00:00;+01:00;51.67;46.69
2024-02-09 00:00;+01:00;48.96;45.38
2024-02-10 00:00;+01:00;71.95;70.3
2024-02-11 00:00;+01:00;57.48;55.02
2024-02-12 00:00;+01:00;73.43;76.96
2024-02-13 00:00;+01:00;71.02;75.33
2024-02-14 00:00;+01:00;65.01;67.24
2024-02-15 00:00;+01:00;56.9;59.94
2024-02-16 00:00;+01:00;60.75;58.95
2024-02-17 00:00;+01:00;62.1;62.24
2024-02-18 00:00;+01:00;47.41;48.31
2024-02-19 00:00;+01:00;61.28;61.85
2024-02-20 00:00;+01:00;62.34;65.72
2024-02-21 00:00;+01:00;55.05;55.63
2024-02-22 00:00;+01:00;40.72;46.32
2024-02-23 00:00;+01:00;45.64;43.54
2024-02-24 00:00;+01:00;56.56;56.04
2024-02-25 00:00;+01:00;58.75;52.76
2024-02-26 00:00;+01:00;65.84;65.52
2024-02-27 00:00;+01:00;68.53;72.82
2024-02-28 00:00;+01:00;66.9;72.37
2024-02-29 00:00;+01:00;63.59;61.45
2024-03-01 00:00;+01:00;67.21;63.58
2024-03-02 00:00;+01:00;66.04;54.67
2024-03-03 00:00;+01:00;63.35;56.41
2024-03-04 00:00;+01:00;74.78;74.2
2024-03-05 00:00;+01:00;76.42;81.45
2024-03-06 00:00;+01:00;81.66;83.05
2024-03-07 00:00;+01:00;73.24;72.73
2024-03-08 00:00;+01:00;65.56;62.35
2024-03-09 00:00;+01:00;49.14;50.36
2024-03-10 00:00;+01:00;53.74;51.53
2024-03-11 00:00;+01:00;72.21;70.25
2024-03-12 00:00;+01:00;72.34;77.79
2024-03-13 00:00;+01:00;61.64;66.92
2024-03-14 00:00;+01:00;58.76;61.14
2024-03-15 00:00;+01:00;42.67;48.18
2024-03-16 00:00;+01:00;51.63;46.03
2024-03-17 00:00;+01:00;46.74;53.3
2024-03-18 00:00;+01:00;66.54;58.73
2024-03-19 00:00;+01:00;68.43;65.22
2024-03-20 00:00;+01:00;59.71;68.2
2024-03-21 00:00;+01:00;54.06;66.68
2024-03-22 00:00;+01:00;36.05;57.75
2024-03-23 00:00;+01:00;9.63;23.11
2024-03-24 00:00;+01:00;16.13;32.36
2024-03-25 00:00;+01:00;47.64;67.05
2024-03-26 00:00;+01:00;46.61;64.24
2024-03-27 00:00;+01:00;50.68;60.71
2024-03-28 00:00;+01:00;16.95;28.71
2024-03-29 00:00;+01:00;34.69;46.1
2024-03-30 00:00;+01:00;52.04;42.41
2024-03-31 00:00;+01:00;23.85;28.06
