Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Wind Power Production MWh/h 30min Actual;FR Wind Power Production MWh/h 15min Normal;FR Wind Power Production MWh/h 15min Backcast
2024-01-01 00:00;+01:00;11192.93;7743.03;11999.11
2024-01-02 00:00;+01:00;16741.96;7736.29;16852.77
2024-01-03 00:00;+01:00;15657.58;7726.29;16392.21
2024-01-04 00:00;+01:00;11183.02;7713.4;11128.77
2024-01-05 00:00;+01:00;7144.38;7697.98;6806.14
2024-01-06 00:00;+01:00;6027.29;7680.41;5744.88
2024-01-07 00:00;+01:00;8131.5;7661.15;7649.23
2024-01-08 00:00;+01:00;8875.83;7641.01;7887.07
2024-01-09 00:00;+01:00;3959.44;7620.93;3995.79
2024-01-10 00:00;+01:00;2794.77;7601.86;2975.28
2024-01-11 00:00;+01:00;6599.69;7584.73;5646.34
2024-01-12 00:00;+01:00;5080.89;7570.48;3915.86
2024-01-13 00:00;+01:00;1637.43;7560.06;1314.2
2024-01-14 00:00;+01:00;1470.89;7554.02;1554.13
2024-01-15 00:00;+01:00;3350.27;7551.33;3823.13
2024-01-16 00:00;+01:00;2240.14;7550.55;2171.99
2024-01-17 00:00;+01:00;7035.09;7550.24;8249.54
2024-01-18 00:00;+01:00;5625.4;7548.93;6636.33
2024-01-19 00:00;+01:00;2443.4;7545.17;2565.65
2024-01-20 00:00;+01:00;4186.31;7537.52;4228.27
2024-01-21 00:00;+01:00;12369.79;7525;13192.98
2024-01-22 00:00;+01:00;15142.45;7508.54;15169.54
2024-01-23 00:00;+01:00;11970.09;7489.6;11810.84
2024-01-24 00:00;+01:00;11597.67;7469.64;11145.47
2024-01-25 00:00;+01:00;3994.05;7450.15;3918.5
2024-01-26 00:00;+01:00;7327.22;7432.57;7373.1
2024-01-27 00:00;+01:00;3076.02;7418.39;2593.42
2024-01-28 00:00;+01:00;7357.62;7408.66;6773.63
2024-01-29 00:00;+01:00;6734.15;7402.87;5713.44
2024-01-30 00:00;+01:00;4241.6;7400.06;4060.02
2024-01-31 00:00;+01:00;2669.35;7399.24;2567.53
2024-02-01 00:00;+01:00;4289.26;7399.44;4084.41
2024-02-02 00:00;+01:00;5297.86;7399.7;4657.89
2024-02-03 00:00;+01:00;4590.69;7399.04;4820.82
2024-02-04 00:00;+01:00;6901.72;7396.61;6925.52
2024-02-05 00:00;+01:00;6752.97;7392.07;6548.35
2024-02-06 00:00;+01:00;12066.85;7385.24;11853.37
2024-02-07 00:00;+01:00;13061.32;7375.93;12060.04
2024-02-08 00:00;+01:00;12334.8;7363.96;12061.55
2024-02-09 00:00;+01:00;12016.09;7349.15;11619.49
2024-02-10 00:00;+01:00;6421.08;7331.32;5341.08
2024-02-11 00:00;+01:00;9907.54;7310.7;9333.24
2024-02-12 00:00;+01:00;2889.33;7289.21;2937.6
2024-02-13 00:00;+01:00;6134.99;7269.18;5527.46
2024-02-14 00:00;+01:00;7478.06;7252.91;7305.57
2024-02-15 00:00;+01:00;7858.69;7242.74;6720.11
2024-02-16 00:00;+01:00;6818.65;7240.99;6452.9
2024-02-17 00:00;+01:00;3047.12;7249.96;2864.35
2024-02-18 00:00;+01:00;8200.41;7271.15;7856.77
2024-02-19 00:00;+01:00;5274.36;7302.61;5531.51
2024-02-20 00:00;+01:00;3816.99;7341.58;3757.51
2024-02-21 00:00;+01:00;10099.9;7385.28;9576.52
2024-02-22 00:00;+01:00;15184.99;7430.94;15086.47
2024-02-23 00:00;+01:00;11205.14;7475.79;11207.28
2024-02-24 00:00;+01:00;8631.77;7517.04;7810.23
2024-02-25 00:00;+01:00;9654.19;7552.21;9104.26
2024-02-26 00:00;+01:00;10776.48;7579.93;10871.16
2024-02-27 00:00;+01:00;8761.85;7599.1;9306.32
2024-02-28 00:00;+01:00;3823.34;7608.62;3904.98
2024-02-29 00:00;+01:00;8027.54;7607.39;7879.94
2024-03-01 00:00;+01:00;12481.15;7594.3;12799.92
2024-03-02 00:00;+01:00;8066.11;7568.26;8858.62
2024-03-03 00:00;+01:00;4209.06;7528.55;4521.39
2024-03-04 00:00;+01:00;4490.81;7476.04;5161.07
2024-03-05 00:00;+01:00;4819.49;7412.01;5186.75
2024-03-06 00:00;+01:00;1748.57;7337.76;1797.73
2024-03-07 00:00;+01:00;6993.02;7254.58;7107.08
2024-03-08 00:00;+01:00;8900.3;7163.74;9330.53
2024-03-09 00:00;+01:00;9016.85;7066.55;10021.1
2024-03-10 00:00;+01:00;2001.61;6964.42;2249.15
2024-03-11 00:00;+01:00;4964.03;6859.35;5443.97
2024-03-12 00:00;+01:00;6620.94;6753.44;7069.82
2024-03-13 00:00;+01:00;3863.7;6648.81;4220.47
2024-03-14 00:00;+01:00;5550.17;6547.56;5630.04
2024-03-15 00:00;+01:00;10337.99;6451.81;11655.02
2024-03-16 00:00;+01:00;3973.93;6363.67;4424.67
2024-03-17 00:00;+01:00;3065.94;6285.05;3475.53
2024-03-18 00:00;+01:00;1925.33;6217.1;2061.24
2024-03-19 00:00;+01:00;1263.82;6160.76;1232.84
2024-03-20 00:00;+01:00;2187.42;6117;2099.43
2024-03-21 00:00;+01:00;1554.6;6086.77;1613.15
2024-03-22 00:00;+01:00;3154.45;6071.04;3390.56
2024-03-23 00:00;+01:00;9348.52;6070.77;11551.29
2024-03-24 00:00;+01:00;8505.48;6085.95;9063.98
2024-03-25 00:00;+01:00;5254.6;6112.73;5538.79
2024-03-26 00:00;+01:00;5421.85;6146.24;5144.45
2024-03-27 00:00;+01:00;8451.98;6181.6;9011.26
2024-03-28 00:00;+01:00;14942.23;6213.93;16225.79
2024-03-29 00:00;+01:00;8365.04;6238.35;8454.22
2024-03-30 00:00;+01:00;4133.68;6249.98;3862.87
2024-03-31 00:00;+01:00;6988.47;6235.56;7117.53
