Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Exchange Day-Ahead Schedule Net Export MWh/h H Actual;FR Exchange Day-Ahead Schedule Net Export MWh/h H Synthetic;FR Exchange Day-Ahead Schedule Net Export MWh/h H Backcast
2025-01-01 00:00;+01:00;5848.46;5848.46;9104.11
2025-01-02 00:00;+01:00;6329.61;6329.61;7225.09
2025-01-03 00:00;+01:00;2776.84;2776.84;3680.38
2025-01-04 00:00;+01:00;9269.5;9269.5;7788.68
2025-01-05 00:00;+01:00;16093.95;16093.95;12113.11
2025-01-06 00:00;+01:00;9599.88;9599.88;10471
2025-01-07 00:00;+01:00;8935.2;8935.2;8454.88
2025-01-08 00:00;+01:00;12359.62;12359.62;11277.6
2025-01-09 00:00;+01:00;13959.67;13959.67;12334.7
2025-01-10 00:00;+01:00;10488.08;10488.08;9903.04
2025-01-11 00:00;+01:00;7831.04;7831.04;7164.97
2025-01-12 00:00;+01:00;8912.01;8912.01;11441.94
2025-01-13 00:00;+01:00;5762.12;5762.12;5066
2025-01-14 00:00;+01:00;1608.78;1608.78;1306.43
2025-01-15 00:00;+01:00;4986.91;4986.91;4537.38
2025-01-16 00:00;+01:00;6331.95;6331.95;6954.15
2025-01-17 00:00;+01:00;4590.56;4590.56;5918.02
2025-01-18 00:00;+01:00;6633.28;6633.28;7383.3
2025-01-19 00:00;+01:00;5633.4;5633.4;8364.73
2025-01-20 00:00;+01:00;5646.45;5646.45;7462.83
2025-01-21 00:00;+01:00;8152.16;8152.16;8761.98
2025-01-22 00:00;+01:00;10939.41;10939.41;11656.16
2025-01-23 00:00;+01:00;10979.33;10979.33;12379.13
2025-01-24 00:00;+01:00;13692.12;13692.12;15277.56
2025-01-25 00:00;+01:00;12680.5;12680.5;13284.08
2025-01-26 00:00;+01:00;9967.5;9967.5;14031.81
2025-01-27 00:00;+01:00;8922.47;8922.47;12525.25
2025-01-28 00:00;+01:00;10475.31;10475.31;13935.49
2025-01-29 00:00;+01:00;10520.74;10520.74;13821.3
2025-01-30 00:00;+01:00;9118.08;9118.08;11463.83
2025-01-31 00:00;+01:00;9141.8;9141.8;10461.05
2025-02-01 00:00;+01:00;7227.6;7227.6;6794.97
2025-02-02 00:00;+01:00;6434.04;6434.04;5720.8
2025-02-03 00:00;+01:00;4166.1;4166.1;4357.76
2025-02-04 00:00;+01:00;3787.38;3787.38;3232.39
2025-02-05 00:00;+01:00;3019.91;3019.91;3901.99
2025-02-06 00:00;+01:00;5881.16;5881.16;6112.43
2025-02-07 00:00;+01:00;3055.65;3055.65;3319.26
