Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Hard Coal Power Production MWh/h 30min Actual;FR Hard Coal Power Capacity Available MW REMIT
2025-01-01 00:00;+01:00;0;1160
2025-01-02 00:00;+01:00;0;910.28
2025-01-03 00:00;+01:00;0;580
2025-01-04 00:00;+01:00;0;580
2025-01-05 00:00;+01:00;0;1160
2025-01-06 00:00;+01:00;0;1160
2025-01-07 00:00;+01:00;0;1160
2025-01-08 00:00;+01:00;312.3;1160
2025-01-09 00:00;+01:00;365.92;1176.67
2025-01-10 00:00;+01:00;525.73;1260
2025-01-11 00:00;+01:00;53.07;1160
2025-01-12 00:00;+01:00;0;930.42
2025-01-13 00:00;+01:00;423.42;96.67
2025-01-14 00:00;+01:00;586.76;0
2025-01-15 00:00;+01:00;585.12;0
2025-01-16 00:00;+01:00;579.83;21.98
2025-01-17 00:00;+01:00;586.24;0
2025-01-18 00:00;+01:00;131.73;0
2025-01-19 00:00;+01:00;0;0
2025-01-20 00:00;+01:00;460.83;0
2025-01-21 00:00;+01:00;586.48;0
2025-01-22 00:00;+01:00;565.7;0
2025-01-23 00:00;+01:00;429.8;555.83
2025-01-24 00:00;+01:00;0;1160
2025-01-25 00:00;+01:00;0;1160
2025-01-26 00:00;+01:00;0;1160
2025-01-27 00:00;+01:00;0;1160
2025-01-28 00:00;+01:00;0;1160
2025-01-29 00:00;+01:00;0;894.17
2025-01-30 00:00;+01:00;367.12;33.75
2025-01-31 00:00;+01:00;557.83;0
2025-02-01 00:00;+01:00;32.69;0
2025-02-02 00:00;+01:00;0;0
2025-02-03 00:00;+01:00;435.01;37.65
2025-02-04 00:00;+01:00;546.55;0
2025-02-05 00:00;+01:00;543.95;0
2025-02-06 00:00;+01:00;500.11;225
2025-02-07 00:00;+01:00;0;0
2025-02-08 00:00;+01:00;0;0
2025-02-09 00:00;+01:00;0;0
2025-02-10 00:00;+01:00;366.51;62.81
2025-02-11 00:00;+01:00;485.1;0
2025-02-12 00:00;+01:00;469.65;0
2025-02-13 00:00;+01:00;480.27;0
2025-02-14 00:00;+01:00;207.01;20.54
2025-02-15 00:00;+01:00;0;0
2025-02-16 00:00;+01:00;0;0
2025-02-17 00:00;+01:00;0;0
2025-02-18 00:00;+01:00;0;0
2025-02-19 00:00;+01:00;0;48.33
2025-02-20 00:00;+01:00;0;1160
2025-02-21 00:00;+01:00;0;1160
2025-02-22 00:00;+01:00;0;1160
2025-02-23 00:00;+01:00;0;1160
2025-02-24 00:00;+01:00;0;580
2025-02-25 00:00;+01:00;0;580
2025-02-26 00:00;+01:00;0;314.17
2025-02-27 00:00;+01:00;0;0
2025-02-28 00:00;+01:00;0;0
2025-03-01 00:00;+01:00;0;0
2025-03-02 00:00;+01:00;0;0
2025-03-03 00:00;+01:00;0;0
2025-03-04 00:00;+01:00;0;0
2025-03-05 00:00;+01:00;0;0
2025-03-06 00:00;+01:00;0;1087.5
2025-03-07 00:00;+01:00;0;1004.53
2025-03-08 00:00;+01:00;0;580
2025-03-09 00:00;+01:00;0;580
2025-03-10 00:00;+01:00;0;580
2025-03-11 00:00;+01:00;0;0
2025-03-12 00:00;+01:00;0;0
2025-03-13 00:00;+01:00;0;0
2025-03-14 00:00;+01:00;0;0
2025-03-15 00:00;+01:00;0;483.33
2025-03-16 00:00;+01:00;0;580
2025-03-17 00:00;+01:00;0;580
2025-03-18 00:00;+01:00;0;580
2025-03-19 00:00;+01:00;0;580
2025-03-20 00:00;+01:00;0;580
2025-03-21 00:00;+01:00;0;580
2025-03-22 00:00;+01:00;0;580
2025-03-23 00:00;+01:00;0;580
2025-03-24 00:00;+01:00;0;580
2025-03-25 00:00;+01:00;0;520.11
2025-03-26 00:00;+01:00;0;360
2025-03-27 00:00;+01:00;0;360
2025-03-28 00:00;+01:00;0;360
2025-03-29 00:00;+01:00;0;360
2025-03-30 00:00;+01:00;0;360
2025-03-31 00:00;+02:00;0;525
