Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Hydro Pumped-storage Production MWh/h 30min Actual;FR Hydro Pumped-storage Capacity Available MW REMIT
2025-01-01 00:00;+01:00;128.98;4366.19
2025-01-02 00:00;+01:00;1262.91;4250.64
2025-01-03 00:00;+01:00;1068.06;4357.01
2025-01-04 00:00;+01:00;1549.09;4375
2025-01-05 00:00;+01:00;495.07;4375
2025-01-06 00:00;+01:00;315.09;4308.5
2025-01-07 00:00;+01:00;721.41;4201.25
2025-01-08 00:00;+01:00;854.61;4227.31
2025-01-09 00:00;+01:00;941.03;4290.83
2025-01-10 00:00;+01:00;1242.96;4266.99
2025-01-11 00:00;+01:00;683.11;4375
2025-01-12 00:00;+01:00;857.98;4321.1
2025-01-13 00:00;+01:00;1723.07;4204.75
2025-01-14 00:00;+01:00;1509.59;4243.62
2025-01-15 00:00;+01:00;1709.05;4323.92
2025-01-16 00:00;+01:00;1165.7;4312.79
2025-01-17 00:00;+01:00;1559.83;4400.42
2025-01-18 00:00;+01:00;1018.42;4577
2025-01-19 00:00;+01:00;824.35;4560.17
2025-01-20 00:00;+01:00;2229.28;4488.72
2025-01-21 00:00;+01:00;1579.16;4388.33
2025-01-22 00:00;+01:00;960.1;4052.12
2025-01-23 00:00;+01:00;708.6;3923.99
2025-01-24 00:00;+01:00;613.25;4178.04
2025-01-25 00:00;+01:00;776.42;4564.09
2025-01-26 00:00;+01:00;279.17;4568.26
2025-01-27 00:00;+01:00;651.21;4556.24
2025-01-28 00:00;+01:00;870.77;4541.38
2025-01-29 00:00;+01:00;873.82;4773.33
2025-01-30 00:00;+01:00;1028.95;4721.54
2025-01-31 00:00;+01:00;1173.69;4879.76
2025-02-01 00:00;+01:00;930.27;4881
2025-02-02 00:00;+01:00;1058.03;4881
2025-02-03 00:00;+01:00;1653.54;4727.96
2025-02-04 00:00;+01:00;1369.39;4295.91
2025-02-05 00:00;+01:00;1250.31;4450.04
2025-02-06 00:00;+01:00;1212.95;4716.33
2025-02-07 00:00;+01:00;869.44;4712.43
2025-02-08 00:00;+01:00;827.34;4729
2025-02-09 00:00;+01:00;852.81;4683.08
2025-02-10 00:00;+01:00;1103.43;4684.67
2025-02-11 00:00;+01:00;1387.15;4663.83
2025-02-12 00:00;+01:00;1593.89;4687.83
2025-02-13 00:00;+01:00;1259.4;4729
2025-02-14 00:00;+01:00;1045.83;4721.4
2025-02-15 00:00;+01:00;782.68;4721.93
2025-02-16 00:00;+01:00;617.04;4729
2025-02-17 00:00;+01:00;1286.97;4699.44
2025-02-18 00:00;+01:00;819.98;4622.6
2025-02-19 00:00;+01:00;1128.94;4387.19
2025-02-20 00:00;+01:00;981.26;4495.72
2025-02-21 00:00;+01:00;390.18;4577
2025-02-22 00:00;+01:00;1049.79;4577
2025-02-23 00:00;+01:00;356.32;4573.2
2025-02-24 00:00;+01:00;659.43;4575.32
2025-02-25 00:00;+01:00;864.52;4577
2025-02-26 00:00;+01:00;1033.34;4567.92
2025-02-27 00:00;+01:00;1197.88;4558
2025-02-28 00:00;+01:00;1026.04;4668.83
2025-03-01 00:00;+01:00;839.48;4712.76
2025-03-02 00:00;+01:00;638.42;4729
2025-03-03 00:00;+01:00;1174.23;4592.35
2025-03-04 00:00;+01:00;1284.7;4596.5
2025-03-05 00:00;+01:00;1392.67;4705.99
2025-03-06 00:00;+01:00;1262.04;4631.88
2025-03-07 00:00;+01:00;1051.86;4710
2025-03-08 00:00;+01:00;339.9;4729
2025-03-09 00:00;+01:00;494.15;4729
2025-03-10 00:00;+01:00;1146.9;4681.49
2025-03-11 00:00;+01:00;962.83;4637.56
2025-03-12 00:00;+01:00;1176.44;4729
2025-03-13 00:00;+01:00;1369.43;4527.42
2025-03-14 00:00;+01:00;1168.41;4611.79
2025-03-15 00:00;+01:00;684.86;4721.61
2025-03-16 00:00;+01:00;915.81;4729
2025-03-17 00:00;+01:00;1243.45;4726.04
2025-03-18 00:00;+01:00;884;4729
2025-03-19 00:00;+01:00;947.54;4434.5
2025-03-20 00:00;+01:00;1107.51;4301.9
2025-03-21 00:00;+01:00;645.5;4513.67
2025-03-22 00:00;+01:00;613.23;4601.01
2025-03-23 00:00;+01:00;802.51;4577
2025-03-24 00:00;+01:00;1221.69;4496.46
2025-03-25 00:00;+01:00;1021;4385.91
2025-03-26 00:00;+01:00;1076.79;4221.9
2025-03-27 00:00;+01:00;1044.76;4031.58
2025-03-28 00:00;+01:00;850.75;4558.13
2025-03-29 00:00;+01:00;846.9;4729
2025-03-30 00:00;+01:00;536.51;4729
2025-03-31 00:00;+02:00;1318.51;4147.78
