Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Hydro Reservoir Production MWh/h 30min Actual;FR Hydro Reservoir Production MWh/h 15min Normal;FR Hydro Reservoir Capacity Available MW REMIT
2025-01-01 00:00;+01:00;430.42;2505.78;5047
2025-01-02 00:00;+01:00;2214.64;3239.13;5047
2025-01-03 00:00;+01:00;2481.38;3382.14;5047
2025-01-04 00:00;+01:00;3220.07;3406.22;5047
2025-01-05 00:00;+01:00;705.11;3463.97;5036
2025-01-06 00:00;+01:00;949.92;3515.05;4999.6
2025-01-07 00:00;+01:00;1843.03;3568.03;5047
2025-01-08 00:00;+01:00;2477.65;3620.39;4882.83
2025-01-09 00:00;+01:00;2302.15;3672.94;4917.28
2025-01-10 00:00;+01:00;3295.29;3725.41;5047
2025-01-11 00:00;+01:00;2940;3778.08;5047
2025-01-12 00:00;+01:00;2561.74;3830.31;5047
2025-01-13 00:00;+01:00;3423.07;3876.64;5038.38
2025-01-14 00:00;+01:00;3855.91;3916.73;5047
2025-01-15 00:00;+01:00;3904.25;3950.59;4924.96
2025-01-16 00:00;+01:00;3321.24;3978.1;4847.92
2025-01-17 00:00;+01:00;3747.54;3999.84;5031.5
2025-01-18 00:00;+01:00;3586.21;4012.78;4910.51
2025-01-19 00:00;+01:00;3310.25;4006.49;4901
2025-01-20 00:00;+01:00;3944.16;3996.93;4900.74
2025-01-21 00:00;+01:00;3786.73;3987.94;4813.81
2025-01-22 00:00;+01:00;2971.72;3978.76;4637.17
2025-01-23 00:00;+01:00;2041.29;3969.74;4651.5
2025-01-24 00:00;+01:00;1040.62;3960.41;4807
2025-01-25 00:00;+01:00;1047.49;3952.5;4796.5
2025-01-26 00:00;+01:00;1094.82;3951.84;4807
2025-01-27 00:00;+01:00;935.55;3952.51;4784.08
2025-01-28 00:00;+01:00;1099.1;3953.1;4765.33
2025-01-29 00:00;+01:00;1811.51;3953.81;4805.26
2025-01-30 00:00;+01:00;2192.62;3954.71;4807
2025-01-31 00:00;+01:00;2737.14;3955.77;4804.65
2025-02-01 00:00;+01:00;2616.48;3957.75;4807
2025-02-02 00:00;+01:00;2578.42;3963.75;4807
2025-02-03 00:00;+01:00;2666.16;3970.78;4778.48
2025-02-04 00:00;+01:00;3057.66;3977.86;4746.75
2025-02-05 00:00;+01:00;2884.39;3984.97;4802.65
2025-02-06 00:00;+01:00;2641.53;3992.06;4731.56
2025-02-07 00:00;+01:00;2629.47;3999.41;4807
2025-02-08 00:00;+01:00;2391.25;4005.16;4807
2025-02-09 00:00;+01:00;2841.72;4002.74;4794.5
2025-02-10 00:00;+01:00;2868.76;3998.85;4792.72
2025-02-11 00:00;+01:00;2716.93;3994.2;4807
2025-02-12 00:00;+01:00;2897.05;3976.07;4787.31
2025-02-13 00:00;+01:00;3366.68;3943.2;4872.67
2025-02-14 00:00;+01:00;2939.19;3895.98;5005.29
2025-02-15 00:00;+01:00;3130.22;3834.14;5047
2025-02-16 00:00;+01:00;2832.8;3757.87;5047
2025-02-17 00:00;+01:00;3345.55;3666.97;5016.75
2025-02-18 00:00;+01:00;2787.52;3562.49;4926.53
2025-02-19 00:00;+01:00;2974.27;3456.92;4984
2025-02-20 00:00;+01:00;2697.19;3351.67;4968.29
2025-02-21 00:00;+01:00;1293.52;3245.86;5030.5
2025-02-22 00:00;+01:00;1922.9;3142.64;5047
2025-02-23 00:00;+01:00;1533.7;3053.67;5047
