Data exported from Energy Quantified
https://energyquantified.com


;;;;;;2025-04-01 00:00;2025-03-31 00:00;2025-03-30 00:00
Date;TZ;FR Hydro Run-of-river Production MWh/h 30min Actual;FR Hydro Run-of-river Production MWh/h 15min Normal;FR Hydro Run-of-river Production MWh/h 15min Backcast;FR Hydro Run-of-river Capacity Available MW REMIT;FR Hydro Run-of-river Production MWh/h 15min Forecast;FR Hydro Run-of-river Production MWh/h 15min Forecast;FR Hydro Run-of-river Production MWh/h 15min Forecast
2025-01-01 00:00;+01:00;3860.9;4684.07;5082.24;5058;;;
2025-01-02 00:00;+01:00;4672.01;4701.68;3843.98;5046.29;;;
2025-01-03 00:00;+01:00;5527.61;4723.25;4681.32;5038.96;;;
2025-01-04 00:00;+01:00;6148.8;4742.8;5331.65;5048;;;
2025-01-05 00:00;+01:00;5414.41;4754.59;6077.65;5048;;;
2025-01-06 00:00;+01:00;5446.79;4764.75;5805.79;5041.33;;;
2025-01-07 00:00;+01:00;5727.01;4775.24;5484.01;5036;;;
2025-01-08 00:00;+01:00;6069.4;4785.65;5809.82;5048;;;
2025-01-09 00:00;+01:00;6167.91;4796.14;6181.21;5025.19;;;
2025-01-10 00:00;+01:00;6555.54;4806.55;6141.9;5044.25;;;
2025-01-11 00:00;+01:00;6536.84;4816.94;6462.1;5048;;;
2025-01-12 00:00;+01:00;6615.83;4827.35;6305.63;5048;;;
2025-01-13 00:00;+01:00;6721.64;4837.84;6586.08;5058.21;;;
2025-01-14 00:00;+01:00;6718.61;4848.25;6672.66;5070.39;;;
2025-01-15 00:00;+01:00;6748.07;4858.65;6683.12;5039.99;;;
2025-01-16 00:00;+01:00;6325.82;4869.16;6715.34;5039.79;;;
2025-01-17 00:00;+01:00;6373.64;4879.27;6283.14;5092.62;;;
2025-01-18 00:00;+01:00;6374.71;4891.89;6329.27;5116;;;
2025-01-19 00:00;+01:00;5926.08;4917.89;6221.69;5087.21;;;
2025-01-20 00:00;+01:00;6090.8;4946.65;6231;4913.42;;;
2025-01-21 00:00;+01:00;5818.7;4974.97;6085.68;4858.01;;;
2025-01-22 00:00;+01:00;5756.59;5003.44;5834.27;4989;;;
2025-01-23 00:00;+01:00;5329.89;5031.76;5828.11;4989;;;
2025-01-24 00:00;+01:00;4968.41;5060.48;5407.46;4971.76;;;
2025-01-25 00:00;+01:00;4899.16;5087.7;4850.21;5084;;;
2025-01-26 00:00;+01:00;4894.77;5107.66;5097.5;5084;;;
2025-01-27 00:00;+01:00;5044.94;5126.28;5294.33;5052.81;;;
2025-01-28 00:00;+01:00;5499.98;5145.01;4955.48;5046.31;;;
2025-01-29 00:00;+01:00;5841.32;5163.8;5550.58;5068.55;;;
2025-01-30 00:00;+01:00;6257.9;5182.6;5882.25;5074.12;;;
2025-01-31 00:00;+01:00;6871.03;5201.42;6204.36;5116;;;
2025-02-01 00:00;+01:00;6682.58;5219.56;6808.5;5116;;;
2025-02-02 00:00;+01:00;6579.52;5233.85;6403.83;5116;;;
2025-02-03 00:00;+01:00;6625.41;5247.33;6656.13;5116;;;
2025-02-04 00:00;+01:00;6499.75;5260.93;6565.09;5090.75;;;
2025-02-05 00:00;+01:00;6236.29;5274.53;6441.3;5088.18;;;
2025-02-06 00:00;+01:00;6014.82;5288.13;6198.74;5102.58;;;
2025-02-07 00:00;+01:00;5860.22;5301.49;6003.89;5102.75;;;
2025-02-08 00:00;+01:00;5602.03;5316.44;5725.9;5116;;;
2025-02-09 00:00;+01:00;5682;5339.52;5520.18;5105.69;;;
2025-02-10 00:00;+01:00;5764.51;5364.28;5973.03;5085.42;;;
2025-02-11 00:00;+01:00;5866.19;5388.77;5769.6;5040.97;;;
2025-02-12 00:00;+01:00;6177.7;5413.28;5844.28;5021.67;;;
2025-02-13 00:00;+01:00;6289.09;5437.87;6174.9;5073.33;;;
2025-02-14 00:00;+01:00;6303.69;5462.38;6314.18;5126.54;;;
2025-02-15 00:00;+01:00;5988.91;5486.87;6225.85;5148.67;;;
2025-02-16 00:00;+01:00;5607.2;5511.37;5832.1;5134;;;
2025-02-17 00:00;+01:00;5828.64;5535.87;5990;5012.4;;;
2025-02-18 00:00;+01:00;5381.15;5560.37;5806.92;4967.49;;;
