Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Natural Gas Power Production MWh/h 30min Actual;FR Natural Gas Power Capacity Available MW REMIT
2025-01-01 00:00;+01:00;1876.99;5339.31
2025-01-02 00:00;+01:00;3617.08;5338.99
2025-01-03 00:00;+01:00;2428.23;5267.2
2025-01-04 00:00;+01:00;4520.75;5777.71
2025-01-05 00:00;+01:00;1927.45;5600.58
2025-01-06 00:00;+01:00;1889.15;5767.43
2025-01-07 00:00;+01:00;1901.33;5686.36
2025-01-08 00:00;+01:00;2416.38;5626.77
2025-01-09 00:00;+01:00;2518.9;5472.13
2025-01-10 00:00;+01:00;4995.72;5751.8
2025-01-11 00:00;+01:00;2995.1;5409.59
2025-01-12 00:00;+01:00;3074.73;5450.04
2025-01-13 00:00;+01:00;5386.36;5570.8
2025-01-14 00:00;+01:00;6420.16;5548.41
2025-01-15 00:00;+01:00;6836.09;5568.33
2025-01-16 00:00;+01:00;6852.43;5800.48
2025-01-17 00:00;+01:00;7283.91;5990
2025-01-18 00:00;+01:00;6966.16;5930.91
2025-01-19 00:00;+01:00;6075.45;5993
2025-01-20 00:00;+01:00;7373.19;5993
2025-01-21 00:00;+01:00;7425.92;5990
2025-01-22 00:00;+01:00;5979.74;5968.58
2025-01-23 00:00;+01:00;2432.05;5990
2025-01-24 00:00;+01:00;1826.71;5990
2025-01-25 00:00;+01:00;1832.01;5990
2025-01-26 00:00;+01:00;1853.53;5990
2025-01-27 00:00;+01:00;2113.21;5827.48
2025-01-28 00:00;+01:00;1866.39;5990
2025-01-29 00:00;+01:00;2354.06;5983.32
2025-01-30 00:00;+01:00;2863.47;5990
2025-01-31 00:00;+01:00;4459.96;5932.93
2025-02-01 00:00;+01:00;3921.45;5927.03
2025-02-02 00:00;+01:00;3854.78;5990
2025-02-03 00:00;+01:00;6841.15;5990
2025-02-04 00:00;+01:00;6527.94;6087.2
2025-02-05 00:00;+01:00;6279.83;5896.62
2025-02-06 00:00;+01:00;6350.3;5759
2025-02-07 00:00;+01:00;3784.01;5878.67
2025-02-08 00:00;+01:00;3366.48;5753.63
2025-02-09 00:00;+01:00;3350.23;5990
2025-02-10 00:00;+01:00;3944.59;5990
2025-02-11 00:00;+01:00;5509.24;5990
2025-02-12 00:00;+01:00;6426.71;5959.03
2025-02-13 00:00;+01:00;6475.07;5990
2025-02-14 00:00;+01:00;5843.49;5963.69
2025-02-15 00:00;+01:00;3939.44;5984
2025-02-16 00:00;+01:00;3380.3;5843.95
2025-02-17 00:00;+01:00;5047.69;5555.68
2025-02-18 00:00;+01:00;4788.46;5527
2025-02-19 00:00;+01:00;3433.59;5422.41
2025-02-20 00:00;+01:00;1876.83;5706.08
2025-02-21 00:00;+01:00;1780.59;5990
2025-02-22 00:00;+01:00;1897.02;5794.29
2025-02-23 00:00;+01:00;1804.83;5794.4
2025-02-24 00:00;+01:00;2139.24;5990
2025-02-25 00:00;+01:00;2476.16;5990
2025-02-26 00:00;+01:00;2696.28;5990
2025-02-27 00:00;+01:00;4502.61;5910.47
2025-02-28 00:00;+01:00;4638.94;5990
2025-03-01 00:00;+01:00;2336.53;5878.8
2025-03-02 00:00;+01:00;2527.1;5990
2025-03-03 00:00;+01:00;3945.53;5684.16
2025-03-04 00:00;+01:00;3597.1;5842.65
2025-03-05 00:00;+01:00;2595.5;5741.17
2025-03-06 00:00;+01:00;1896.98;5754.67
2025-03-07 00:00;+01:00;1919.28;5936.42
2025-03-08 00:00;+01:00;1694.4;5577
2025-03-09 00:00;+01:00;1762.36;5577
2025-03-10 00:00;+01:00;2899.08;5577
2025-03-11 00:00;+01:00;3541.89;5577
2025-03-12 00:00;+01:00;5059.92;5364.18
2025-03-13 00:00;+01:00;6083.49;5294.5
2025-03-14 00:00;+01:00;5734.89;5676.13
2025-03-15 00:00;+01:00;2120.2;5600.31
2025-03-16 00:00;+01:00;2282.05;5552.22
2025-03-17 00:00;+01:00;3031.05;5722.66
2025-03-18 00:00;+01:00;2601.4;5795.62
2025-03-19 00:00;+01:00;2004.03;5555
2025-03-20 00:00;+01:00;1693.39;5555
2025-03-21 00:00;+01:00;1680.56;5555
2025-03-22 00:00;+01:00;1666.15;5109.38
2025-03-23 00:00;+01:00;1696.72;5555
2025-03-24 00:00;+01:00;2928.25;5463.46
2025-03-25 00:00;+01:00;2661.96;5614.23
2025-03-26 00:00;+01:00;2759.74;5774.16
2025-03-27 00:00;+01:00;2749.96;5710.07
2025-03-28 00:00;+01:00;1930.24;5846.83
2025-03-29 00:00;+01:00;1747.22;5623.95
2025-03-30 00:00;+01:00;1677.61;5555
2025-03-31 00:00;+02:00;2094.57;5692.91
