Data exported from Energy Quantified
https://energyquantified.com


;;;;;2025-04-01 00:00;2025-03-31 00:00;2025-03-30 00:00;2025-03-29 00:00;2025-03-28 00:00
Date;TZ;FR Nuclear Production MWh/h 30min Actual;FR Nuclear Production MWh/h 15min Backcast;FR Nuclear Capacity Available MW REMIT;FR Nuclear Production MWh/h 15min Forecast;FR Nuclear Production MWh/h 15min Forecast;FR Nuclear Production MWh/h 15min Forecast;FR Nuclear Production MWh/h 15min Forecast;FR Nuclear Production MWh/h 15min Forecast
2025-01-01 00:00;+01:00;44064.15;47355.12;52127.58;;;;;
2025-01-02 00:00;+01:00;50614.24;53386.19;53317.55;;;;;
2025-01-03 00:00;+01:00;52609.97;53877.18;53786.42;;;;;
2025-01-04 00:00;+01:00;50373.35;51569.81;51466.92;;;;;
2025-01-05 00:00;+01:00;46425.36;51021.49;51702.06;;;;;
2025-01-06 00:00;+01:00;44342.5;49223.4;52378.65;;;;;
2025-01-07 00:00;+01:00;50663.22;52340.08;54314.4;;;;;
2025-01-08 00:00;+01:00;53868.32;55458.39;55370;;;;;
2025-01-09 00:00;+01:00;53138.57;54784.98;55302.48;;;;;
2025-01-10 00:00;+01:00;53129.35;54023.2;53933.46;;;;;
2025-01-11 00:00;+01:00;53731.41;54676.98;54508.51;;;;;
2025-01-12 00:00;+01:00;54726.69;55958.98;55817.84;;;;;
2025-01-13 00:00;+01:00;53263.78;54319.84;54233.16;;;;;
2025-01-14 00:00;+01:00;53451.51;54503.68;54450.06;;;;;
2025-01-15 00:00;+01:00;55094.8;56045.73;55996;;;;;
2025-01-16 00:00;+01:00;55302.88;56007.37;55996;;;;;
2025-01-17 00:00;+01:00;55772.84;56005;55996;;;;;
2025-01-18 00:00;+01:00;55631.93;55997.03;56032.77;;;;;
2025-01-19 00:00;+01:00;55761.26;56024.4;55998.4;;;;;
2025-01-20 00:00;+01:00;55874.43;56135;56109;;;;;
2025-01-21 00:00;+01:00;55711.43;56135;56109;;;;;
2025-01-22 00:00;+01:00;55347.03;56091;56109;;;;;
2025-01-23 00:00;+01:00;54255.75;56065;56083;;;;;
2025-01-24 00:00;+01:00;53756.6;55576.42;56003.35;;;;;
2025-01-25 00:00;+01:00;51686.21;53905.05;55129.08;;;;;
2025-01-26 00:00;+01:00;45747.1;48155.03;50348.89;;;;;
2025-01-27 00:00;+01:00;43264.19;46402.51;49883.58;;;;;
2025-01-28 00:00;+01:00;45682.66;46587.4;50114.15;;;;;
2025-01-29 00:00;+01:00;49903.77;51200.91;52875.6;;;;;
2025-01-30 00:00;+01:00;52118.17;53246.06;53306.22;;;;;
2025-01-31 00:00;+01:00;52398.51;53351.45;53251.23;;;;;
2025-02-01 00:00;+01:00;49535.56;50269.56;50183.56;;;;;
2025-02-02 00:00;+01:00;49415.16;50267.5;50181.5;;;;;
2025-02-03 00:00;+01:00;49795.14;50281;50195;;;;;
2025-02-04 00:00;+01:00;48717.09;49179.1;49089.69;;;;;
2025-02-05 00:00;+01:00;48559.17;48971;48984.17;;;;;
2025-02-06 00:00;+01:00;48209.96;48545.46;48678.85;;;;;
2025-02-07 00:00;+01:00;47399.01;47881.16;48017.92;;;;;
2025-02-08 00:00;+01:00;45375.78;45841.94;46002.94;;;;;
2025-02-09 00:00;+01:00;46009.07;46874.85;47045.83;;;;;
2025-02-10 00:00;+01:00;47051.61;47702.46;47860;;;;;
2025-02-11 00:00;+01:00;47002.31;47699;47789.34;;;;;
2025-02-12 00:00;+01:00;48193.31;48876.9;49098.12;;;;;
2025-02-13 00:00;+01:00;49296.75;49521.91;49754.67;;;;;
2025-02-14 00:00;+01:00;50022.4;50457.53;50639.06;;;;;
2025-02-15 00:00;+01:00;49092.38;49778.44;49786.15;;;;;
2025-02-16 00:00;+01:00;48250.19;48999.66;48997.29;;;;;
2025-02-17 00:00;+01:00;48960.64;49629.24;49626.88;;;;;
2025-02-18 00:00;+01:00;49103.51;49785;49785;;;;;
2025-02-19 00:00;+01:00;48778.42;49663.91;49660;;;;;
2025-02-20 00:00;+01:00;46642.06;47685.76;47671.91;;;;;
2025-02-21 00:00;+01:00;45186.79;47371.88;47495.56;;;;;
2025-02-22 00:00;+01:00;43315.72;45230.42;45218.86;;;;;
2025-02-23 00:00;+01:00;42457.04;45147.92;45512.51;;;;;
2025-02-24 00:00;+01:00;44207.09;46199.41;47000.62;;;;;
2025-02-25 00:00;+01:00;46385.57;47479.65;47479.65;;;;;
2025-02-26 00:00;+01:00;46364.12;47990.96;47987.5;;;;;
2025-02-27 00:00;+01:00;47315.68;48147.27;48140.31;;;;;
2025-02-28 00:00;+01:00;47398.82;48155;48155;;;;;
2025-03-01 00:00;+01:00;46061.68;47348.86;47458.85;;;;;
2025-03-02 00:00;+01:00;44308.38;46459.47;46957.81;;;;;
2025-03-03 00:00;+01:00;45583.81;46902.38;46896.64;;;;;
2025-03-04 00:00;+01:00;46338.09;47917.72;47914.33;;;;;
2025-03-05 00:00;+01:00;46092.39;47425.54;48087;;;;;
2025-03-06 00:00;+01:00;44912.43;46481.16;47488.94;;;;;
2025-03-07 00:00;+01:00;44216.55;45656.23;46603.99;;;;;
2025-03-08 00:00;+01:00;39721.77;41790.4;44347.85;;;;;
2025-03-09 00:00;+01:00;39766.51;42041.31;44366.92;;;;;
2025-03-10 00:00;+01:00;45199.7;47122.18;47024.17;;;;;
2025-03-11 00:00;+01:00;44670.15;46387.39;46301.54;;;;;
2025-03-12 00:00;+01:00;44938.86;46337.2;46251.35;;;;;
2025-03-13 00:00;+01:00;45433.78;46893.4;46866.35;;;;;
2025-03-14 00:00;+01:00;46665.49;48006.34;47945.83;;;;;
2025-03-15 00:00;+01:00;44876.12;46677.05;46613.16;;;;;
2025-03-16 00:00;+01:00;43555.43;45244.97;46388.92;;;;;
2025-03-17 00:00;+01:00;45601.48;46782.32;46780;;;;;
2025-03-18 00:00;+01:00;44030.16;45284.92;46540.45;;;;;
2025-03-19 00:00;+01:00;44174.58;45072.68;46805;;;;;
2025-03-20 00:00;+01:00;43706.44;43426.82;45738.56;;;;;
2025-03-21 00:00;+01:00;40342.3;40823.45;43394.73;;;;;
2025-03-22 00:00;+01:00;36591.95;39715.22;43230.97;;;;;
2025-03-23 00:00;+01:00;39655.71;42106.83;44397.89;;;;;
2025-03-24 00:00;+01:00;45301.96;46514.23;46556.88;;;;;
2025-03-25 00:00;+01:00;45166.83;46703.43;46699.95;;;;;
2025-03-26 00:00;+01:00;44776.69;45982.83;45975.88;;;;;
2025-03-27 00:00;+01:00;43458.34;44792.69;45475.58;;;;;
2025-03-28 00:00;+01:00;43429.73;44787.39;45928.85;;;;;44787.39
2025-03-29 00:00;+01:00;38548.68;41366.17;42935.17;;;;41366.17;41499.93
2025-03-30 00:00;+01:00;32235.64;36014.97;41491.32;;;36014.97;36852.91;40596.08
2025-03-31 00:00;+02:00;40605.98;41835.41;44039.64;;41835.83;42353.02;44864.53;45050.23
