Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Solar Photovoltaic Production MWh/h 30min Actual;FR Solar Photovoltaic Production MWh/h 15min Normal;FR Solar Photovoltaic Production MWh/h 15min Backcast
2025-01-01 00:00;+01:00;1551;1231.2;1747.81
2025-01-02 00:00;+01:00;699.15;1237.44;710.84
2025-01-03 00:00;+01:00;1163.54;1245.04;1113.81
2025-01-04 00:00;+01:00;821.54;1253.75;638.57
2025-01-05 00:00;+01:00;834.81;1263.52;1066.32
2025-01-06 00:00;+01:00;819.65;1274.24;911.92
2025-01-07 00:00;+01:00;1469.29;1285.87;1354.54
2025-01-08 00:00;+01:00;968.44;1298.43;1229.88
2025-01-09 00:00;+01:00;987.4;1311.91;920.93
2025-01-10 00:00;+01:00;911.15;1326.31;691.58
2025-01-11 00:00;+01:00;1313.27;1341.56;1333.12
2025-01-12 00:00;+01:00;2113.15;1357.49;2193.65
2025-01-13 00:00;+01:00;2501.29;1374.04;2640.82
2025-01-14 00:00;+01:00;2388.08;1391.39;2544.59
2025-01-15 00:00;+01:00;1906.85;1409.08;1977.41
2025-01-16 00:00;+01:00;1678.12;1427.31;1702.61
2025-01-17 00:00;+01:00;2233.08;1445.22;2483.03
2025-01-18 00:00;+01:00;1659.58;1462.63;1848.59
2025-01-19 00:00;+01:00;1526.27;1480;1600.07
2025-01-20 00:00;+01:00;1192.56;1497.19;1340.37
2025-01-21 00:00;+01:00;1610.75;1514.41;1696.14
2025-01-22 00:00;+01:00;1026.46;1531.86;1086.95
2025-01-23 00:00;+01:00;1562.92;1552.06;1526.28
2025-01-24 00:00;+01:00;1317.81;1571.02;1248.06
2025-01-25 00:00;+01:00;908.83;1588.21;927.79
2025-01-26 00:00;+01:00;1181.9;1608.97;1181.64
2025-01-27 00:00;+01:00;1082.9;1630.85;1158.02
2025-01-28 00:00;+01:00;1225.56;1654.42;1258.84
2025-01-29 00:00;+01:00;1557.62;1679.99;1409.84
2025-01-30 00:00;+01:00;1488.69;1707.9;1498.45
2025-01-31 00:00;+01:00;1343.42;1736.74;1727.33
2025-02-01 00:00;+01:00;2275.88;1769.62;2429.3
2025-02-02 00:00;+01:00;2561.73;1806.28;2826.9
2025-02-03 00:00;+01:00;2806.79;1845.53;2868.59
2025-02-04 00:00;+01:00;2796.04;1885.53;2839.69
2025-02-05 00:00;+01:00;2623.12;1928.19;2605.48
2025-02-06 00:00;+01:00;2336.56;1971.73;2355.41
2025-02-07 00:00;+01:00;1379.75;2013.81;1379.42
2025-02-08 00:00;+01:00;1451.69;2056.69;1476.87
2025-02-09 00:00;+01:00;1755.83;2098.62;1471.14
2025-02-10 00:00;+01:00;1265.71;2139.4;1154.49
2025-02-11 00:00;+01:00;1548.17;2178.87;1386.92
2025-02-12 00:00;+01:00;1235.27;2216.67;1343.44
2025-02-13 00:00;+01:00;1749.67;2253.27;1705.91
2025-02-14 00:00;+01:00;2638.96;2288.12;2516.26
2025-02-15 00:00;+01:00;3290.06;2321.23;3207.43
2025-02-16 00:00;+01:00;3044.69;2352.02;3008.23
2025-02-17 00:00;+01:00;3014.6;2381.59;2979.1
2025-02-18 00:00;+01:00;2745.48;2409.71;2792.27
2025-02-19 00:00;+01:00;2300.83;2436.59;2433.63
2025-02-20 00:00;+01:00;2363;2462.44;2480.84
2025-02-21 00:00;+01:00;1872.92;2487.1;2269.62
2025-02-22 00:00;+01:00;1423.08;2510.86;1583.92
2025-02-23 00:00;+01:00;2722.96;2534.7;2735.2
2025-02-24 00:00;+01:00;1490.31;2558.99;1781.24
2025-02-25 00:00;+01:00;1734.77;2584.2;1876.75
2025-02-26 00:00;+01:00;2943;2611.58;2715.4
2025-02-27 00:00;+01:00;2941.17;2641.71;2835.34
2025-02-28 00:00;+01:00;3704.52;2675.39;3518.18
2025-03-01 00:00;+01:00;3536.5;2712.28;3434.39
2025-03-02 00:00;+01:00;4371.46;2755.2;4152.49
2025-03-03 00:00;+01:00;4050.85;2802.25;3792.43
2025-03-04 00:00;+01:00;3850.17;2852.93;3813.07
2025-03-05 00:00;+01:00;4673.6;2906.51;4437.57
