Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Consumption Temperature °C H Actual;FR Consumption Temperature °C 15min Synthetic;FR Consumption Temperature °C 15min Normal
2025-01-01 00:00;+01:00;5.75;5.73;5.3
2025-01-02 00:00;+01:00;5.96;5.39;5.3
2025-01-03 00:00;+01:00;3.07;2.58;5.31
2025-01-04 00:00;+01:00;2.7;2.71;5.32
2025-01-05 00:00;+01:00;10.42;9.79;5.35
2025-01-06 00:00;+01:00;9.91;9.24;5.38
2025-01-07 00:00;+01:00;6.65;6.12;5.4
2025-01-08 00:00;+01:00;8.26;7.83;5.43
2025-01-09 00:00;+01:00;7.78;7.37;5.46
2025-01-10 00:00;+01:00;5.14;4.82;5.48
2025-01-11 00:00;+01:00;3.1;3.09;5.49
2025-01-12 00:00;+01:00;1.54;1.07;5.5
2025-01-13 00:00;+01:00;0.52;-0.15;5.49
2025-01-14 00:00;+01:00;-0.56;-0.87;5.47
2025-01-15 00:00;+01:00;2.1;1.79;5.45
2025-01-16 00:00;+01:00;3.35;2.89;5.4
2025-01-17 00:00;+01:00;1.27;1.17;5.34
2025-01-18 00:00;+01:00;1.06;0.94;5.27
2025-01-19 00:00;+01:00;1.14;1.14;5.2
2025-01-20 00:00;+01:00;1.54;1.61;5.12
2025-01-21 00:00;+01:00;2.66;3.12;5.05
2025-01-22 00:00;+01:00;7.02;6.2;4.98
2025-01-23 00:00;+01:00;7.3;6.82;4.92
2025-01-24 00:00;+01:00;8.75;8.48;4.87
2025-01-25 00:00;+01:00;9.88;9.27;4.84
2025-01-26 00:00;+01:00;7.06;6.62;4.83
2025-01-27 00:00;+01:00;10.16;9.53;4.82
2025-01-28 00:00;+01:00;8.69;7.88;4.82
2025-01-29 00:00;+01:00;8;7.31;4.83
2025-01-30 00:00;+01:00;6.97;6.45;4.84
2025-01-31 00:00;+01:00;4.65;4.07;4.86
2025-02-01 00:00;+01:00;3.71;3.2;4.87
2025-02-02 00:00;+01:00;3.03;2.6;4.9
2025-02-03 00:00;+01:00;2.89;2.46;4.93
2025-02-04 00:00;+01:00;2.99;3.09;4.96
2025-02-05 00:00;+01:00;4.68;4.33;5
2025-02-06 00:00;+01:00;4.33;3.94;5.04
2025-02-07 00:00;+01:00;4.68;4.47;5.09
2025-02-08 00:00;+01:00;5.32;4.88;5.15
2025-02-09 00:00;+01:00;5.2;4.61;5.21
2025-02-10 00:00;+01:00;6.25;5.71;5.27
2025-02-11 00:00;+01:00;6.34;5.83;5.34
2025-02-12 00:00;+01:00;7;6.51;5.41
2025-02-13 00:00;+01:00;6.67;6.33;5.47
2025-02-14 00:00;+01:00;4.56;3.98;5.53
2025-02-15 00:00;+01:00;3.17;2.75;5.59
2025-02-16 00:00;+01:00;4.02;3.74;5.66
2025-02-17 00:00;+01:00;4.73;4.12;5.72
2025-02-18 00:00;+01:00;5.26;4.97;5.78
2025-02-19 00:00;+01:00;7.68;7.47;5.85
2025-02-20 00:00;+01:00;10.77;9.81;5.92
2025-02-21 00:00;+01:00;12.06;11.31;5.99
2025-02-22 00:00;+01:00;11;10.25;6.07
2025-02-23 00:00;+01:00;9.62;9;6.16
2025-02-24 00:00;+01:00;10.65;10.03;6.25
2025-02-25 00:00;+01:00;9.2;8.52;6.35
2025-02-26 00:00;+01:00;7.58;6.95;6.45
2025-02-27 00:00;+01:00;6.89;6.27;6.57
2025-02-28 00:00;+01:00;6.11;5.32;6.69
2025-03-01 00:00;+01:00;4.98;4.48;6.82
2025-03-02 00:00;+01:00;5.76;5.22;6.96
2025-03-03 00:00;+01:00;6.5;5.62;7.1
2025-03-04 00:00;+01:00;7.9;6.9;7.24
2025-03-05 00:00;+01:00;9.28;8.03;7.39
2025-03-06 00:00;+01:00;10.9;9.56;7.55
2025-03-07 00:00;+01:00;12.02;10.72;7.7
2025-03-08 00:00;+01:00;12.51;11.61;7.85
2025-03-09 00:00;+01:00;12.08;11.17;8.01
2025-03-10 00:00;+01:00;10.65;9.72;8.15
2025-03-11 00:00;+01:00;8.77;8.23;8.29
2025-03-12 00:00;+01:00;6.81;6.4;8.43
2025-03-13 00:00;+01:00;5.28;4.71;8.55
2025-03-14 00:00;+01:00;4.51;4.03;8.66
2025-03-15 00:00;+01:00;4.75;4.31;8.76
2025-03-16 00:00;+01:00;5.3;4.79;8.86
2025-03-17 00:00;+01:00;6.46;5.71;8.94
2025-03-18 00:00;+01:00;8.06;7.23;9.02
2025-03-19 00:00;+01:00;11.17;9.89;9.08
2025-03-20 00:00;+01:00;12.26;11.33;9.14
2025-03-21 00:00;+01:00;13.43;12.82;9.2
2025-03-22 00:00;+01:00;12.64;11.83;9.25
2025-03-23 00:00;+01:00;10.34;9.7;9.3
2025-03-24 00:00;+01:00;10.94;10.02;9.35
2025-03-25 00:00;+01:00;10.47;9.93;9.4
2025-03-26 00:00;+01:00;10.65;9.98;9.45
2025-03-27 00:00;+01:00;10.29;9.35;9.51
2025-03-28 00:00;+01:00;9.61;8.92;9.57
2025-03-29 00:00;+01:00;9.49;8.6;9.63
2025-03-30 00:00;+01:00;10.77;9.73;9.76
2025-03-31 00:00;+02:00;11.02;9.95;9.77
