Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Hydro Pumped-storage Production MWh/h 30min Actual;FR Hydro Pumped-storage Capacity Available MW REMIT
2024-01-01 00:00;+01:00;748.19;4775.95
2024-01-02 00:00;+01:00;936.19;4789
2024-01-03 00:00;+01:00;683.89;4789
2024-01-04 00:00;+01:00;1498.29;4789
2024-01-05 00:00;+01:00;954.39;4789
2024-01-06 00:00;+01:00;814.72;4789
2024-01-07 00:00;+01:00;614.38;4662.62
2024-01-08 00:00;+01:00;1544.93;4355.49
2024-01-09 00:00;+01:00;1590.18;4481.26
2024-01-10 00:00;+01:00;1910.64;4529.48
2024-01-11 00:00;+01:00;1508;4600.34
2024-01-12 00:00;+01:00;1569.38;4749.85
2024-01-13 00:00;+01:00;1284.32;4789
2024-01-14 00:00;+01:00;879.73;4789
2024-01-15 00:00;+01:00;1103.19;4715.28
2024-01-16 00:00;+01:00;1491.5;4605.9
2024-01-17 00:00;+01:00;1196.76;4633.83
2024-01-18 00:00;+01:00;1292.27;4434.77
2024-01-19 00:00;+01:00;1210.6;4674.81
2024-01-20 00:00;+01:00;1051.82;4745.09
2024-01-21 00:00;+01:00;558.57;4750.69
2024-01-22 00:00;+01:00;646.88;4688.06
2024-01-23 00:00;+01:00;668.2;4731.76
2024-01-24 00:00;+01:00;672.95;4697.71
2024-01-25 00:00;+01:00;1348.31;4716.63
2024-01-26 00:00;+01:00;1099.51;4731.62
2024-01-27 00:00;+01:00;959.76;4779.6
2024-01-28 00:00;+01:00;619.68;4768.32
2024-01-29 00:00;+01:00;1268.97;4691.88
2024-01-30 00:00;+01:00;1266.9;4763.64
2024-01-31 00:00;+01:00;1287.77;4530
2024-02-01 00:00;+01:00;1165.56;4546.23
2024-02-02 00:00;+01:00;763.53;4771.29
2024-02-03 00:00;+01:00;834.64;4782.98
2024-02-04 00:00;+01:00;395.62;4783.76
2024-02-05 00:00;+01:00;1477.89;4476.09
2024-02-06 00:00;+01:00;702.26;4637.58
2024-02-07 00:00;+01:00;1074.84;4776.56
2024-02-08 00:00;+01:00;576.92;4768.69
2024-02-09 00:00;+01:00;667.15;4876.85
2024-02-10 00:00;+01:00;1201.03;4941
2024-02-11 00:00;+01:00;876.21;4852.24
2024-02-12 00:00;+01:00;1412.12;4301.27
2024-02-13 00:00;+01:00;1210.74;4581.73
2024-02-14 00:00;+01:00;1153.11;4941
2024-02-15 00:00;+01:00;717.55;4895.4
2024-02-16 00:00;+01:00;1132.55;4922.08
2024-02-17 00:00;+01:00;766.81;4904.11
2024-02-18 00:00;+01:00;357.07;4770.11
2024-02-19 00:00;+01:00;1486.12;4941
2024-02-20 00:00;+01:00;1205.38;4780.21
2024-02-21 00:00;+01:00;911.38;4974.6
2024-02-22 00:00;+01:00;495.34;4990.39
2024-02-23 00:00;+01:00;1091.57;5059.33
2024-02-24 00:00;+01:00;1121.39;5093
2024-02-25 00:00;+01:00;836.16;5093
2024-02-26 00:00;+01:00;765.47;4693.1
2024-02-27 00:00;+01:00;1598.72;4562.63
2024-02-28 00:00;+01:00;1524.81;4518.21
2024-02-29 00:00;+01:00;891.34;4246.02
2024-03-01 00:00;+01:00;696.88;4594.17
2024-03-02 00:00;+01:00;844.67;4632
2024-03-03 00:00;+01:00;817.46;4608.57
2024-03-04 00:00;+01:00;1191.9;4297.25
2024-03-05 00:00;+01:00;1215.38;4140.33
2024-03-06 00:00;+01:00;1520.11;4123.07
2024-03-07 00:00;+01:00;1104.4;4151.32
2024-03-08 00:00;+01:00;904.12;4012.72
2024-03-09 00:00;+01:00;811.56;4248
2024-03-10 00:00;+01:00;1022.07;4248
2024-03-11 00:00;+01:00;1242.94;4214.19
2024-03-12 00:00;+01:00;1248.75;4248
2024-03-13 00:00;+01:00;1299.53;4230.5
2024-03-14 00:00;+01:00;1375.29;4052.64
2024-03-15 00:00;+01:00;682.33;4227.94
2024-03-16 00:00;+01:00;944.94;4235.77
2024-03-17 00:00;+01:00;1025.62;4248
2024-03-18 00:00;+01:00;1419.83;4021.62
2024-03-19 00:00;+01:00;1113.56;3977.29
2024-03-20 00:00;+01:00;891.95;3550.22
2024-03-21 00:00;+01:00;1175.33;3924.04
2024-03-22 00:00;+01:00;994.2;4096
2024-03-23 00:00;+01:00;328.55;4096
2024-03-24 00:00;+01:00;641.01;3640
2024-03-25 00:00;+01:00;1206.15;3483.88
2024-03-26 00:00;+01:00;1568.2;3235.46
2024-03-27 00:00;+01:00;956.99;3224.14
2024-03-28 00:00;+01:00;608.05;3481.06
2024-03-29 00:00;+01:00;1055.32;3790.13
2024-03-30 00:00;+01:00;1227.58;4382.52
2024-03-31 00:00;+01:00;733.5;4462.12
