Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Hydro Reservoir Production MWh/h 30min Actual;FR Hydro Reservoir Production MWh/h 15min Normal;FR Hydro Reservoir Capacity Available MW REMIT
2024-01-01 00:00;+01:00;1339.22;2505.78;5026
2024-01-02 00:00;+01:00;1990.47;3239.13;4868.5
2024-01-03 00:00;+01:00;2162.43;3382.14;4906.42
2024-01-04 00:00;+01:00;2972.27;3406.22;4980.87
2024-01-05 00:00;+01:00;2934.21;3463.97;5118.27
2024-01-06 00:00;+01:00;2624.84;3515.05;5165
2024-01-07 00:00;+01:00;2231.33;3568.03;5165
2024-01-08 00:00;+01:00;3258.02;3620.39;5151.2
2024-01-09 00:00;+01:00;3773.76;3672.94;5165
2024-01-10 00:00;+01:00;3934.84;3725.41;5165
2024-01-11 00:00;+01:00;3960.27;3778.08;5147.94
2024-01-12 00:00;+01:00;4069.15;3830.31;5156.75
2024-01-13 00:00;+01:00;3613.15;3876.64;5165
2024-01-14 00:00;+01:00;3512.05;3916.73;5025.63
2024-01-15 00:00;+01:00;3477.8;3950.59;4955.49
2024-01-16 00:00;+01:00;3782.38;3978.1;5065.5
2024-01-17 00:00;+01:00;3518.43;3999.84;5062.88
2024-01-18 00:00;+01:00;2949.83;4012.78;5147.67
2024-01-19 00:00;+01:00;2845.46;4006.49;5152.62
2024-01-20 00:00;+01:00;2997.3;3996.93;5159.75
2024-01-21 00:00;+01:00;2162.1;3987.94;5162.38
2024-01-22 00:00;+01:00;2245.22;3978.76;5132.79
2024-01-23 00:00;+01:00;2173.16;3969.74;5055.44
2024-01-24 00:00;+01:00;2081.5;3960.41;5115.5
2024-01-25 00:00;+01:00;3230.47;3952.5;5122.88
2024-01-26 00:00;+01:00;2525.94;3951.84;5120.67
2024-01-27 00:00;+01:00;2800;3952.51;5159.75
2024-01-28 00:00;+01:00;2423.09;3953.1;5159.75
2024-01-29 00:00;+01:00;3169.72;3953.81;5155.94
2024-01-30 00:00;+01:00;2863.36;3954.71;5141.58
2024-01-31 00:00;+01:00;2837.94;3955.77;5150.25
2024-02-01 00:00;+01:00;2658.77;3957.75;5014.28
2024-02-02 00:00;+01:00;2128.48;3963.75;4970.75
2024-02-03 00:00;+01:00;2326.91;3970.78;4970.75
2024-02-04 00:00;+01:00;1647.6;3977.86;4966.12
2024-02-05 00:00;+01:00;2388.66;3984.97;4887.17
2024-02-06 00:00;+01:00;1663.64;3992.06;4812.19
2024-02-07 00:00;+01:00;2154.29;3999.41;4809.75
2024-02-08 00:00;+01:00;1959.81;4005.16;4858
2024-02-09 00:00;+01:00;2054.79;4002.74;4858
2024-02-10 00:00;+01:00;2034.99;3998.85;4822.8
2024-02-11 00:00;+01:00;1419.34;3994.2;4858
2024-02-12 00:00;+01:00;2738.89;3976.07;4858
2024-02-13 00:00;+01:00;2534.99;3943.2;4642.08
2024-02-14 00:00;+01:00;2201.31;3895.98;4780.78
2024-02-15 00:00;+01:00;2233.9;3834.14;4847
2024-02-16 00:00;+01:00;2449.26;3757.87;4812.5
2024-02-17 00:00;+01:00;2031.47;3666.97;4858
2024-02-18 00:00;+01:00;1748.43;3562.49;4848.97
2024-02-19 00:00;+01:00;2491.16;3456.92;4745.91
2024-02-20 00:00;+01:00;2857.04;3351.67;4739.32
2024-02-21 00:00;+01:00;2287.61;3245.86;4753.4
2024-02-22 00:00;+01:00;1793.86;3142.64;4686.75
2024-02-23 00:00;+01:00;2228.14;3053.67;4519.08
2024-02-24 00:00;+01:00;2652.41;2967.34;4702.98
2024-02-25 00:00;+01:00;2230.01;2877.64;4725
2024-02-26 00:00;+01:00;2439.21;2784.08;4555.83
2024-02-27 00:00;+01:00;2823.83;2691.01;4611.15
