Data exported from Energy Quantified
https://energyquantified.com


;;;;;;2024-03-31 00:00;2024-03-30 00:00;2024-03-29 00:00
Date;TZ;FR Hydro Run-of-river Production MWh/h 30min Actual;FR Hydro Run-of-river Production MWh/h 15min Normal;FR Hydro Run-of-river Production MWh/h 15min Backcast;FR Hydro Run-of-river Capacity Available MW REMIT;FR Hydro Run-of-river Production MWh/h 15min Forecast;FR Hydro Run-of-river Production MWh/h 15min Forecast;FR Hydro Run-of-river Production MWh/h 15min Forecast
2024-01-01 00:00;+01:00;5040.01;4684.07;5387.26;5224;;;
2024-01-02 00:00;+01:00;5534.97;4701.68;5068.74;5142.12;;;
2024-01-03 00:00;+01:00;5719.59;4723.25;5602.79;5098.06;;;
2024-01-04 00:00;+01:00;6156.08;4742.8;5753.39;5101.09;;;
2024-01-05 00:00;+01:00;6210.46;4754.59;6112.19;5185;;;
2024-01-06 00:00;+01:00;6134.7;4764.75;6099.95;5179.5;;;
2024-01-07 00:00;+01:00;5886.96;4775.24;5921.36;5185;;;
2024-01-08 00:00;+01:00;6300.07;4785.65;5909.53;5170.83;;;
2024-01-09 00:00;+01:00;6427.57;4796.14;6262.39;5169.44;;;
2024-01-10 00:00;+01:00;6353.14;4806.55;6395.73;5224.06;;;
2024-01-11 00:00;+01:00;6411.62;4816.94;6338.2;5238.85;;;
2024-01-12 00:00;+01:00;6469.33;4827.35;6392.17;5225.17;;;
2024-01-13 00:00;+01:00;6087.03;4837.84;6451.05;5255;;;
2024-01-14 00:00;+01:00;5790.48;4848.25;5953.83;5255;;;
2024-01-15 00:00;+01:00;5941.74;4858.65;6164.4;5120.29;;;
2024-01-16 00:00;+01:00;6183;4869.16;5982.1;5061.62;;;
2024-01-17 00:00;+01:00;6265.3;4879.27;6554.43;5051.12;;;
2024-01-18 00:00;+01:00;6487.45;4891.89;6275.94;5143.08;;;
2024-01-19 00:00;+01:00;6307.57;4917.89;6462.48;5224.33;;;
2024-01-20 00:00;+01:00;6307.74;4946.65;6161.56;5237;;;
