Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Natural Gas Power Production MWh/h 30min Actual;FR Natural Gas Power Capacity Available MW REMIT
2024-01-01 00:00;+01:00;1859.15;6285
2024-01-02 00:00;+01:00;2003.96;5872.71
2024-01-03 00:00;+01:00;2060.08;5460
2024-01-04 00:00;+01:00;3795.45;5311.83
2024-01-05 00:00;+01:00;4494.53;5638.18
2024-01-06 00:00;+01:00;3538.64;6645.19
2024-01-07 00:00;+01:00;3326.96;6199.85
2024-01-08 00:00;+01:00;6409.93;6065.42
2024-01-09 00:00;+01:00;7713.17;6413.38
2024-01-10 00:00;+01:00;8115.34;6712.4
2024-01-11 00:00;+01:00;8061.66;6770
2024-01-12 00:00;+01:00;7833.35;6762.5
2024-01-13 00:00;+01:00;7182.29;6760.53
2024-01-14 00:00;+01:00;4656.79;6751.91
2024-01-15 00:00;+01:00;6090.74;6751.98
2024-01-16 00:00;+01:00;7480;6755
2024-01-17 00:00;+01:00;6750.05;6734.06
2024-01-18 00:00;+01:00;7009.41;6737.88
2024-01-19 00:00;+01:00;7355.64;6799.48
2024-01-20 00:00;+01:00;6678.84;6812.57
2024-01-21 00:00;+01:00;2510.94;6820
2024-01-22 00:00;+01:00;2142.91;6798.5
2024-01-23 00:00;+01:00;2996.62;6804.44
2024-01-24 00:00;+01:00;2023.89;6820
2024-01-25 00:00;+01:00;3521.39;6820
2024-01-26 00:00;+01:00;2271.29;6820
2024-01-27 00:00;+01:00;2828.05;6346.66
2024-01-28 00:00;+01:00;2192.84;5979
2024-01-29 00:00;+01:00;3965.92;5882.3
2024-01-30 00:00;+01:00;5003.42;5986.71
2024-01-31 00:00;+01:00;4731.68;6176
2024-02-01 00:00;+01:00;4055.44;6176
2024-02-02 00:00;+01:00;2490.8;6378.4
2024-02-03 00:00;+01:00;2055.94;6166.19
2024-02-04 00:00;+01:00;2044.25;6820
2024-02-05 00:00;+01:00;2076.62;6820
2024-02-06 00:00;+01:00;2078.19;6748.67
2024-02-07 00:00;+01:00;2060.66;6723.18
2024-02-08 00:00;+01:00;2021.34;6760.93
2024-02-09 00:00;+01:00;2225.85;6626.25
2024-02-10 00:00;+01:00;2965.49;6332.84
2024-02-11 00:00;+01:00;2564.53;6768.95
2024-02-12 00:00;+01:00;5929.98;6796.53
2024-02-13 00:00;+01:00;4065.82;6542.77
2024-02-14 00:00;+01:00;3827.46;6783.99
2024-02-15 00:00;+01:00;2787.61;6795.94
2024-02-16 00:00;+01:00;3028.69;6701.04
2024-02-17 00:00;+01:00;2837.67;6682.33
2024-02-18 00:00;+01:00;2322.38;6820
2024-02-19 00:00;+01:00;3137.97;6645.68
2024-02-20 00:00;+01:00;3765.97;6813.18
2024-02-21 00:00;+01:00;3054.92;6689.73
2024-02-22 00:00;+01:00;2433.85;6580.64
2024-02-23 00:00;+01:00;3202.78;6395
2024-02-24 00:00;+01:00;3786.49;6317.56
2024-02-25 00:00;+01:00;2754;6395
2024-02-26 00:00;+01:00;5724.65;6335.31
2024-02-27 00:00;+01:00;7488.17;6667.6
2024-02-28 00:00;+01:00;7705.17;6770.01
2024-02-29 00:00;+01:00;3632.75;6987
2024-03-01 00:00;+01:00;3387.67;6847.25
2024-03-02 00:00;+01:00;3011.18;6829.66
2024-03-03 00:00;+01:00;3472.47;6374.75
2024-03-04 00:00;+01:00;6949.56;6878.4
2024-03-05 00:00;+01:00;7422.99;6858.19
2024-03-06 00:00;+01:00;7406.12;6903.63
2024-03-07 00:00;+01:00;5321.7;6958.61
2024-03-08 00:00;+01:00;3042.47;6872.63
2024-03-09 00:00;+01:00;2110.86;6820.79
2024-03-10 00:00;+01:00;2862.94;6923
2024-03-11 00:00;+01:00;5334.85;6709.33
2024-03-12 00:00;+01:00;5821.34;6586.06
2024-03-13 00:00;+01:00;3530.75;6247
2024-03-14 00:00;+01:00;2602.79;6138.81
2024-03-15 00:00;+01:00;2005.2;6467.68
2024-03-16 00:00;+01:00;2062.14;6987
2024-03-17 00:00;+01:00;1979.99;6703.35
2024-03-18 00:00;+01:00;2551.2;6655.41
2024-03-19 00:00;+01:00;2667.48;6492.75
2024-03-20 00:00;+01:00;2055.1;6358
2024-03-21 00:00;+01:00;1825.65;6401.26
2024-03-22 00:00;+01:00;1791.85;6525
2024-03-23 00:00;+01:00;1808.5;6525
2024-03-24 00:00;+01:00;1822.6;6460
2024-03-25 00:00;+01:00;1896.33;6668.09
2024-03-26 00:00;+01:00;2287.4;6620.2
2024-03-27 00:00;+01:00;2090.46;6986.16
2024-03-28 00:00;+01:00;2007.36;6985.25
2024-03-29 00:00;+01:00;1900.44;6162
2024-03-30 00:00;+01:00;1868.51;5772
2024-03-31 00:00;+01:00;1834.67;6162
