Data exported from Energy Quantified
https://energyquantified.com


;;;;;2024-03-31 00:00;2024-03-30 00:00;2024-03-29 00:00;2024-03-28 00:00;2024-03-27 00:00
Date;TZ;FR Nuclear Production MWh/h 30min Actual;FR Nuclear Production MWh/h 15min Backcast;FR Nuclear Capacity Available MW REMIT;FR Nuclear Production MWh/h 15min Forecast;FR Nuclear Production MWh/h 15min Forecast;FR Nuclear Production MWh/h 15min Forecast;FR Nuclear Production MWh/h 15min Forecast;FR Nuclear Production MWh/h 15min Forecast
2024-01-01 00:00;+01:00;38751.34;39891.79;46288.75;;;;;
2024-01-02 00:00;+01:00;43668.43;45254.03;47650.22;;;;;
2024-01-03 00:00;+01:00;45318.77;45033.08;47608;;;;;
2024-01-04 00:00;+01:00;45842.86;47167.34;47423.08;;;;;
2024-01-05 00:00;+01:00;47098.71;48220.47;48288.12;;;;;
2024-01-06 00:00;+01:00;47339.61;48590.99;48572.2;;;;;
2024-01-07 00:00;+01:00;48330.84;50123.24;50209.83;;;;;
2024-01-08 00:00;+01:00;49065.66;50181.41;50278.65;;;;;
2024-01-09 00:00;+01:00;49861.51;50889.03;50932.7;;;;;
2024-01-10 00:00;+01:00;50706.21;51709.63;51768.25;;;;;
2024-01-11 00:00;+01:00;49911.68;50960.34;51012.12;;;;;
2024-01-12 00:00;+01:00;49231.96;49989.82;50103.19;;;;;
2024-01-13 00:00;+01:00;48723.6;49618.49;50408.75;;;;;
2024-01-14 00:00;+01:00;50401.15;51923.39;52356.38;;;;;
2024-01-15 00:00;+01:00;51311.03;52625.87;52566.46;;;;;
2024-01-16 00:00;+01:00;51221.96;52083.14;52021.44;;;;;
2024-01-17 00:00;+01:00;50626.58;51840.7;51825;;;;;
2024-01-18 00:00;+01:00;50840.9;51817.39;51801.62;;;;;
2024-01-19 00:00;+01:00;50508.33;51446.27;51419.72;;;;;
2024-01-20 00:00;+01:00;47895.11;48757.89;48684.71;;;;;
2024-01-21 00:00;+01:00;48292.83;49277.27;49193.76;;;;;
2024-01-22 00:00;+01:00;48828.67;49754.43;50603.72;;;;;
2024-01-23 00:00;+01:00;47335.93;47797.03;49020.82;;;;;
