Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Solar Photovoltaic Production MWh/h 30min Actual;FR Solar Photovoltaic Production MWh/h 15min Normal;FR Solar Photovoltaic Production MWh/h 15min Backcast
2024-01-01 00:00;+01:00;1071.52;1010.76;880.57
2024-01-02 00:00;+01:00;515.56;1018.05;399.47
2024-01-03 00:00;+01:00;787.35;1026.59;776.48
2024-01-04 00:00;+01:00;1190.31;1035.99;1218.13
2024-01-05 00:00;+01:00;708.9;1045.79;654.36
2024-01-06 00:00;+01:00;1027.48;1055.69;962.71
2024-01-07 00:00;+01:00;906.17;1066.65;817.75
2024-01-08 00:00;+01:00;893.75;1076.47;965.1
2024-01-09 00:00;+01:00;1237.23;1086.35;1348.49
2024-01-10 00:00;+01:00;547.02;1096.47;618.46
2024-01-11 00:00;+01:00;1107.12;1107;1126.5
2024-01-12 00:00;+01:00;1447.98;1118.12;1450.99
2024-01-13 00:00;+01:00;1376.48;1126;1594.51
2024-01-14 00:00;+01:00;1016.35;1137.47;1065.77
2024-01-15 00:00;+01:00;1026.9;1150.17;824.98
2024-01-16 00:00;+01:00;1120.67;1163.42;1081.77
2024-01-17 00:00;+01:00;589.98;1177.12;518.13
2024-01-18 00:00;+01:00;1004.69;1191.03;842.71
2024-01-19 00:00;+01:00;1442.96;1205.24;1447.5
2024-01-20 00:00;+01:00;2118.98;1219.04;2148.16
2024-01-21 00:00;+01:00;1429.5;1235.4;1204.82
2024-01-22 00:00;+01:00;926.5;1249.8;744.64
2024-01-23 00:00;+01:00;1277.06;1264.72;1098.06
2024-01-24 00:00;+01:00;1233.12;1280.51;1098.88
2024-01-25 00:00;+01:00;1696.69;1298.16;1540.94
2024-01-26 00:00;+01:00;1117.75;1316.82;1150.18
2024-01-27 00:00;+01:00;1830.19;1330.56;1794.69
2024-01-28 00:00;+01:00;1660.17;1352.35;1706.17
2024-01-29 00:00;+01:00;1693.27;1376.13;1561.96
2024-01-30 00:00;+01:00;1789.56;1401.7;1632.06
2024-01-31 00:00;+01:00;1888.92;1427.34;1751.07
2024-02-01 00:00;+01:00;825.25;1455.75;747.56
2024-02-02 00:00;+01:00;1529.54;1485.37;1410.13
2024-02-03 00:00;+01:00;1618.67;1516.06;1664.89
2024-02-04 00:00;+01:00;1461.06;1547.24;1685.61
2024-02-05 00:00;+01:00;1461.35;1579.64;1655.02
2024-02-06 00:00;+01:00;1114.75;1612.64;1199.38
2024-02-07 00:00;+01:00;1647.79;1643.76;1394.61
2024-02-08 00:00;+01:00;1224.52;1677.04;1282.8
2024-02-09 00:00;+01:00;848.29;1710.46;825.04
2024-02-10 00:00;+01:00;907.25;1743.26;762.49
2024-02-11 00:00;+01:00;1777.44;1776.02;1709.35
2024-02-12 00:00;+01:00;1287.29;1808.39;1127.26
2024-02-13 00:00;+01:00;2317.81;1839.87;2248.58
2024-02-14 00:00;+01:00;2176.9;1870.14;2150.94
2024-02-15 00:00;+01:00;1434.27;1898.49;1848.15
2024-02-16 00:00;+01:00;1182.98;1925.51;1017.92
2024-02-17 00:00;+01:00;2288.33;1949.93;2036.44
2024-02-18 00:00;+01:00;1697.35;1972.52;1566.67
2024-02-19 00:00;+01:00;1621.83;1992.75;1678.33
2024-02-20 00:00;+01:00;2027.9;2011.93;1826.09
2024-02-21 00:00;+01:00;1467;2030.48;977.14
2024-02-22 00:00;+01:00;879.1;2049.03;755.42
2024-02-23 00:00;+01:00;1783.88;2068.22;1855.06
2024-02-24 00:00;+01:00;1994.6;2086.84;1989.32
2024-02-25 00:00;+01:00;1043.02;2108.59;831.94
2024-02-26 00:00;+01:00;1538.77;2132.05;1534.01
2024-02-27 00:00;+01:00;1350.9;2157.57;1360.55
2024-02-28 00:00;+01:00;2198.19;2184.93;2383.49
2024-02-29 00:00;+01:00;2301.25;2214.14;2134.53
2024-03-01 00:00;+01:00;2076.17;2244.44;1926.06
2024-03-02 00:00;+01:00;1412.77;2277.32;1664.88
2024-03-03 00:00;+01:00;1557.92;2312.73;1561.71
2024-03-04 00:00;+01:00;2525.23;2349.35;2446.12
2024-03-05 00:00;+01:00;2422.56;2387.74;2494.02
2024-03-06 00:00;+01:00;2787.52;2427.88;2570.15
2024-03-07 00:00;+01:00;3527.52;2469.84;3354.23
2024-03-08 00:00;+01:00;1692.06;2513.38;1802.93
2024-03-09 00:00;+01:00;1291.44;2556.08;1447.72
2024-03-10 00:00;+01:00;2146.31;2601.22;2303.17
2024-03-11 00:00;+01:00;2037.46;2648.09;2268.08
2024-03-12 00:00;+01:00;2275.35;2695.12;2102
2024-03-13 00:00;+01:00;3254.73;2741.61;3180.7
2024-03-14 00:00;+01:00;3294.21;2786.89;3205.57
2024-03-15 00:00;+01:00;2587.83;2831.64;2800.99
2024-03-16 00:00;+01:00;2702.6;2873.66;2551.45
2024-03-17 00:00;+01:00;2207.54;2913.87;2217.71
2024-03-18 00:00;+01:00;2625.92;2948.16;2710.37
2024-03-19 00:00;+01:00;3705.12;2979.89;3393.24
2024-03-20 00:00;+01:00;3059.96;3009.51;3211.15
2024-03-21 00:00;+01:00;3491.42;3037.5;3411.54
2024-03-22 00:00;+01:00;3853.73;3064.34;3644.18
2024-03-23 00:00;+01:00;3122.77;3086.92;3260.36
